Title,Trigger Automation,Shipment Number,OrderID,Exchange Rate,Invoice Value (FOB),Agent Commission (ILS),Incoterms,Total CIF Amount (ILS),Currency,Food's Broker number,Delivery date (Buyer's conf.),Supplier's number,Supplier's name,Ministry of health costs,Freight costs,Freight costs (ILS),Supplier's Country,Currency (Freight),Import multiplier (ILS),SeaPort of origin,נקודת תכנון הובלה,Total import expenses (ILS),Container Type,Delivery costs - FOB (ILS),Shipment costs - FOB (ILS),Shipment costs (ILS),Forwader's name,Invoice value (ILS),Forwarder's Case number\ ID
28330,Yes,28330,0000114744,3.808,72772,8313.47,FOB,284875.76,USD,204776,22/1/2024,110542,Maas-Intersales,,,,,USD,,,,,,,,,,,
28337,Yes,28337,0000114675,4.1206,25724.16,3179.97,FOB,117487.28,EUR,204776,1/7/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28338,Yes,28338,0000114911,4.0743,8718.56,1044.88,EXW,44938.5,EUR,204776,1/2/2024,111592,pastificio mennucci s.p.a,,,,,USD,,,,,,,,,,,
28347,Yes,28347,0000114759,4.1172,23820.48,2942.21,FOB,109283.66,EUR,204776,31/12/2023,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28367,Yes,28367,0000114758,4.1172,23051.52,2847.23,FOB,106085.36,EUR,204776,1/1/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28520,Yes,28520,0000114758,4.1172,24834.6,3067.47,FOB,113545.44,EUR,204776,1/6/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28530,Yes,28530,0000114814,4.1196,15582,1925.75,EXW,79370.09,EUR,204776,17/1/2024,112147,Viube foods,,,,,USD,,,,,,,,,,,
28531,Yes,28531,0000114849,4.3087,20350.83,2497.15,FOB,93164.34,EUR,204776,21/1/2024,111401,Coppenrath Feingeback Gmbh,,,,,USD,,,,,,,,,,,
28593,Yes,28593,0000114619,4.0714,26647.92,3797.3,FOB,116931.17,EUR,204776,12/2/2024,110030,BALCONI SPA,,,,,USD,,,,,,,,,,,
28593,Yes,28593,0000114619,4.0714,26647.92,3797.3,FOB,116931.17,EUR,204776,2/12/2024,110030,BALCONI SPA,,,,,USD,,,,,,,,,,,
28593,Yes,28593,0000114619,4.0714,26647.92,3797.3,FOB,116931.17,EUR,204776,2/12/2024,110030,BALCONI SPA,,,,,USD,,,,,,,,,,,
28600,Yes,28600,0000114758,4.1172,24619.68,3040.92,FOB,113265.47,EUR,204776,22/1/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
28610,Yes,28610,0000114758,4.1172,29273.4,3615.73,FOB,132403.36,EUR,204776,21/1/2024,110621,ARDO NV\SA,,,,,USD,,,,,,,,,,,
