Title,Check & Update,Does Order Exist?,Does Shipping Record Exist?,Does Invoice Record Exist?,invoice sent to buyer?,Purchase Order num.,Line,Shipment Number (Buyer Ref.),Delivery Value,Currency,Arrival Date at Port,Incoterms,Item Description,Container Number,Bill of Lading (TrackingID),Container Type,Unit's code (Buyers Ref.),Quantity in Container (Cartons),Quantity in Container (Units / 🚢),Supplier's number,Country of supplier,Warehouse of destination,Food's Broker number,Port of Origin,Food's Broker fee per line,Custom/ Taarif's code,Shipping Company,Food's Broker name,Supplier's name,Forwarder's name,Forwarder's Case Number/ ID,Units per Carton,SeaPort of destination,Unit's weight (Gross),Net order value,Buyer's name (Contact),Buyer's name (Category manager)
"114705, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114705,10,28298,8434.13,EUR,22/12/2023,FOB,PRESERVED LEMON JUICE 200 ML.,TCNU4239679,ZIMUGO-A1064043,Y40H,7296073130499,"1,785.000",26775,110157,IT,6030,204776,GENOA,,,,"פודז .אקס בע""מ",POLENGHI LAS SRL,ORIAN,,15,HAIFA_BAY,0.2,0,רוניוק ענת,איתי אביטן-קולינרי
"114705, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114705,20,28298,7506,EUR,22/12/2023,FOB,PRESERVED LEMON JUICE 500 ML.,TCNU4239679,ZIMUGO-A1064043,Y40H,7296073132400,"1,800.000",10800,110157,IT,6030,204776,GENOA,,,,"פודז .אקס בע""מ",POLENGHI LAS SRL,ORIAN,,6,HAIFA_BAY,0.5,0,רוניוק ענת,איתי אביטן-קולינרי
"114705, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114705,30,28298,5162.22,EUR,22/12/2023,FOB,Natural Lemon Juice 250ml.,TCNU4239679,ZIMUGO-A1064043,Y40H,7296073404903,"1,687.000",10122,110157,IT,6030,204776,GENOA,,,,"פודז .אקס בע""מ",POLENGHI LAS SRL,ORIAN,,6,HAIFA_BAY,0.25,2916.18,רוניוק ענת,איתי אביטן-קולינרי
"114744, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114744,10,28330,72772,USD,22/1/2024,FOB,organic chestnuts,MSMU6563965,00010663,Y40H,7296073254256,"2,576.000",128800,110542,NL,6032,204776,XINGANG,,,,"פודז .אקס בע""מ",Maas-Intersales,ORIAN,,50,HAIFA,0.1,3503,רוניוק ענת,סיון ליבל אברהם
"114675, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114675,10,28337,25724.16,EUR,1/6/2024,FOB,CUT GREEN BEANS BG4(800G),ZMOU8827958,ZIMUAN-R2101121,Y40R,7296073173229,"2,310.000",27720,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA_BAY,0.8,1002.24,רוניוק ענת,רונן נג'מיאן
"114911, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114911,10,28338,2802.36,EUR,29/12/2023,EXW,spaghetti gluten free 400 gr,JXJU2767351,ZIMUGO-A1064163,Y020,7296073265351,246.000,2952,111592,IT,6030,204776,GENOA,,,,"פודז .אקס בע""מ",pastificio mennucci s.p.a,ORIAN,,12,HAIFA_BAY,0.4,0,רוניוק ענת,סיון ליבל אברהם
"114911, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114911,20,28338,1039.08,EUR,29/12/2023,EXW,fusilli gluten free 400 gr,JXJU2767351,ZIMUGO-A1064163,Y020,7296073265375,88.000,1056,111592,IT,6030,204776,GENOA,,,,"פודז .אקס בע""מ",pastificio mennucci s.p.a,ORIAN,,12,HAIFA_BAY,0.4,0,רוניוק ענת,סיון ליבל אברהם
"114911, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114911,30,28338,4877.12,EUR,29/12/2023,EXW,penne gluten free 400 gr,JXJU2767351,ZIMUGO-A1064163,Y020,7296073265368,432.000,5184,111592,IT,6030,204776,GENOA,,,,"פודז .אקס בע""מ",pastificio mennucci s.p.a,ORIAN,,12,HAIFA_BAY,0.4,0,רוניוק ענת,סיון ליבל אברהם
"114759, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114759,10,28347,11793.6,EUR,24/12/2023,FOB,MIX PEAS AND CARROT,ZMOU8865650,ZIMUANR-81065255,Y40R,7296073224907,"1,170.000",14040,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA_BAY,0.8,0,רוניוק ענת,רונן נג'מיאן
"114759, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114759,20,28347,12026.88,EUR,24/12/2023,FOB,GREEN PEAS,ZMOU8865650,ZIMUANR-81065255,Y40R,7296073224891,"1,080.000",12960,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA_BAY,0.8,0,רוניוק ענת,רונן נג'מיאן
"114758, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114758,10,28367,23051.52,EUR,30/12/2023,FOB,GREEN PEAS,ZMOU8856175,ZIMUANR-81065294,Y40R,7296073224891,"2,070.000",24840,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA_BAY,0.8,0,רוניוק ענת,רונן נג'מיאן
"114758, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114758,20,28520,24834.6,EUR,1/6/2024,FOB,EXTRA FINE GREEN BEANS BH1(600G),ZMOU8833014,ZIMUAN-R2101117,Y40R,7296073173205,"1,890.000",28350,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,15,HAIFA_BAY,0.6,394.2,רוניוק ענת,רונן נג'מיאן
"114814, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114814,10,28530,7140,EUR,1/11/2024,EXW,parsnip sweet potato&beetroot chips 85gr,UETU5765627,ME-23151981,Y40H,7296073406617,700.000,8400,112147,ES,6030,204776,TARRAGONA,,,,"פודז .אקס בע""מ",Viube foods,ORIAN,,12,HAIFA_BAY,0.085,0,רוניוק ענת,לירן וייגמן
"114814, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114814,20,28530,6048,EUR,1/11/2024,EXW,orange sweet potato&purple sweet chips85,UETU5765627,ME-23151981,Y40H,7296073406600,560.000,6720,112147,ES,6030,204776,TARRAGONA,,,,"פודז .אקס בע""מ",Viube foods,ORIAN,,12,HAIFA_BAY,0.085,0,רוניוק ענת,לירן וייגמן
"114814, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114814,30,28530,2394,EUR,1/11/2024,EXW,striped beetroot&white potato chips 85gr,UETU5765627,ME-23151981,Y40H,7296073406624,210.000,2520,112147,ES,6030,204776,TARRAGONA,,,,"פודז .אקס בע""מ",Viube foods,ORIAN,,12,HAIFA_BAY,0.085,0,רוניוק ענת,לירן וייגמן
"114849, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114849,10,28531,20350.83,EUR,20/1/2024,FOB,double cookey gluten free,SEGU2669186,ZIMUHAM-81054045,Y020,7296073243342,"2,783.000",19481,111401,DE,6030,204776,HAMBURG,,,,"פודז .אקס בע""מ",Coppenrath Feingeback Gmbh,ORIAN,,7,HAIFA_BAY,0.3,124.31,רוניוק ענת,סיון ליבל אברהם
"114619, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114619,10,28593,15032.16,EUR,2/12/2024,FOB,wafer cubes hazel nuts 250 gr,MCLU5114625,BORUWLB171VNHF02,Y4H,7296073226536,"1,584.000",15840,110030,IT,6032,204776,GENOA,,,,"פודז .אקס בע""מ",BALCONI SPA,ORIAN,,10,ASHDOD,0.25,0,רוניוק ענת,נדב ליבוביץ
"114619, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114619,20,28593,11615.76,EUR,2/12/2024,FOB,wafer cubes chocolate 250 gr,MCLU5114625,BORUWLB171VNHF02,Y4H,7296073226529,"1,224.000",12240,110030,IT,6032,204776,GENOA,,,,"פודז .אקס בע""מ",BALCONI SPA,ORIAN,,10,ASHDOD,0.25,0,רוניוק ענת,נדב ליבוביץ
"114758, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114758,30,28600,24619.68,EUR,20/1/2024,FOB,REGUIAR GREEN BEANS BH3(800G),ZMOU8817163,ZIMUANR-81065633,Y40R,7296073173212,"2,085.000",25020,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA_BAY,0.8,177.12,רוניוק ענת,רונן נג'מיאן
"114758, 50",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114758,50,28610,29273.4,EUR,20/1/2024,FOB,EXTRA FINE GARDEN PEAS EK1(600G),ZMOU8884217,ZIMUANR-81065689,Y40R,7296073173199,"2,340.000",35100,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,15,HAIFA_BAY,0.6,0,רוניוק ענת,רונן נג'מיאן
"114758, 40",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114758,40,28615,19042.56,EUR,27/1/2024,FOB,GREEN PEAS,ZCLU9940124,ZIMUANR-81065634,Y40R,7296073224891,"1,710.000",20520,110621,BE,6033,204776,ANTWERPEN,,,,"פודז .אקס בע""מ",ARDO NV\SA,ORIAN,,12,HAIFA_BAY,0.8,4008.96,רוניוק ענת,רונן נג'מיאן
"114838, 10",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114838,10,28652,1207.22,EUR,19/1/2024,EXW,tomatoes gnocchi 500gr,TRHU2693602,ZIMUN-AP109763,Y020,7296073291930,176.000,2112,110976,IT,6030,204776,NAPLES,,,,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,12,HAIFA_BAY,0.5,0,רוניוק ענת,איתי אביטן-קולינרי
"114838, 20",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114838,20,28652,1124.91,EUR,19/1/2024,EXW,spinach gnocchi 500gr,TRHU2693602,ZIMUN-AP109763,Y020,7296073291947,164.000,1968,110976,IT,6030,204776,NAPLES,,,,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,12,HAIFA_BAY,0.5,0,רוניוק ענת,איתי אביטן-קולינרי
"114838, 30",Yes,Order Exists,Shipping Record Does NOT exist,Invoice Record Does NOT exist,No,114838,30,28652,9310.24,EUR,19/1/2024,EXW,potato gnocchi 500gr,TRHU2693602,ZIMUN-AP109763,Y020,7296073291916,"1,613.000",19356,110976,IT,6030,204776,NAPLES,,,,"פודז .אקס בע""מ",CIEMME ALIMENTARI S.R.L,ORIAN,,12,HAIFA_BAY,0.5,0,רוניוק ענת,איתי אביטן-קולינרי
