Shipping Title1,Open Comments,Text 1,Container Type/Quantity,Country of Loading,Description,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),First Created,Last Updated,Auto Number
ws,0,Loading Port (City),5 pallets / 7.5 CBM,India,$25,Ashdod,LCL from Mundra (India) 5 Pallets,$100/CBM,$120,$40,Mundra,$200,Maersk,Beit Shemesh,"$1,065","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#001
LCL from Mundra (India) 5 Pallets,0,Mundra,5 pallets / 7.5 CBM,India,$25,Ashdod,LCL from Nhava Sheva (India) 5 Pallets,$95/CBM,$115,$38,Nhava Sheva,$190,CMA CGM,Beit Shemesh,"$1,020","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#002
LCL from Nhava Sheva (India) 5 Pallets,0,Nhava Sheva,,,,,Estimated LCL Shipping Costs from Argentina (Buenos Aires),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#003
"LCL from Buenos Aires (Argentina) 5
  Pallets",0,Buenos Aires,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#004
LCL from Los Angeles (USA) 5 Pallets,0,Los Angeles,5 pallets / 7.5 CBM,Argentina,$25,Ashdod,LCL from Buenos Aires (Argentina) 5 Pallets,$110/CBM,$130,$42,Buenos Aires,$220,Maersk,Beit Shemesh,"$1,132","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#005
LCL from New York (USA) 5 Pallets,0,New York,,,,,Estimated LCL Shipping Costs from USA (Los Angeles and New York),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#006
LCL from Vancouver (Canada) 5 Pallets,0,Vancouver,Container Type/Quantity,Country of Loading,Documentation,Destination Port,Shipping Title,Freight (CBM),Handling,Insurance,Loading Port (City),Port Charges,Shipping Company,ShipTo Address,Total Estimated Cost (USD),"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#007
LCL from Veracruz (Mexico) 5 Pallets,0,Veracruz,5 pallets / 7.5 CBM,USA,$25,Ashdod,LCL from Los Angeles (USA) 5 Pallets,$120/CBM,$140,$45,Los Angeles,$240,CMA CGM,Beit Shemesh,"$1,205","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#008
LCL from Gdynia (Poland) 5 Pallets,0,Gdynia,5 pallets / 7.5 CBM,USA,$25,Ashdod,LCL from New York (USA) 5 Pallets,$115/CBM,$135,$44,New York,$230,MSC,Beit Shemesh,"$1,160","By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#009
"LCL from Rotterdam (Netherlands) 5
  Pallets",0,Rotterdam,,,,,Estimated LCL Shipping Costs from Canada (Vancouver),,,,,,,,,"By Udi Stryk on 4 Oct, 2024","By Udi Stryk on 4 Oct, 2024",#010
